fold,ticker,n_test,directional_accuracy,mae_price,rmse_price
1,BTC-USD,59,0.4745762711864407,1602.5887451171875,2116.2251770546536
1,ETH-USD,59,0.4915254237288136,81.11334991455078,111.53338205443248
1,LTC-USD,59,0.3898305084745763,2.805001974105835,3.830678531909398
1,XRP-USD,59,0.3728813559322034,0.06021074205636978,0.0778872956632858
1,BCH-USD,59,0.4915254237288136,17.584733963012695,21.58944831542606
2,BTC-USD,58,0.41379310344827586,1601.058349609375,2469.799283342677
2,ETH-USD,58,0.43103448275862066,71.36322784423828,103.90145195689038
2,LTC-USD,58,0.3793103448275862,1.5505378246307373,2.1995810283175015
2,XRP-USD,58,0.3275862068965517,0.05483480915427208,0.08160073410022738
2,BCH-USD,58,0.4482758620689655,14.988155364990234,23.682025206284486
3,BTC-USD,58,0.5517241379310345,1344.887451171875,1707.7619125627552
3,ETH-USD,58,0.5344827586206896,55.38052749633789,71.80187176573115
3,LTC-USD,58,0.5344827586206896,0.9668501615524292,1.2953963525225722
3,XRP-USD,58,0.43103448275862066,0.02684527076780796,0.03407636591270704
3,BCH-USD,58,0.4827586206896552,8.204520225524902,10.297065420517345
4,BTC-USD,58,0.43103448275862066,1175.3330078125,1527.7003141977814
4,ETH-USD,58,0.46551724137931033,45.82375717163086,59.9267965710301
4,LTC-USD,58,0.43103448275862066,1.0779625177383423,1.3548529377624576
4,XRP-USD,58,0.41379310344827586,0.03114324063062668,0.03778639552644426
4,BCH-USD,58,0.3793103448275862,10.829004287719727,14.044359501717285
